Unnamed: 0.10,linkPoster,name,role,time,content,content_img,react_list,comment,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,prediction
0,No link,Người tham gia ẩn danh,Thành viên,20 giờ,Thư giãn thoii nào,"{0: 'https://scontent.fdad1-2.fna.fbcdn.net/v/t39.30808-6/469882931_1354783695891152_7194592913713917589_n.jpg?stp=dst-jpg_p180x540_tt6&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=ppEb5M5f_-MQ7kNvgHCw1Ug&_nc_zt=23&_nc_ht=scontent.fdad1-2.fna&_nc_gid=AsbkbeS6a5gidTzRs9S72V9&oh=00_AYAwhjZ8eGiTSRbEyg9A2MFnGIJKDdQNkctT980wNz1Okw&oe=676086B5', 1: 'https://static.xx.fbcdn.net/images/emoji.php/v9/tb7/1/16/1f917.png'}","{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,,,,,,,,,,,Tiêu cực (NEG)
1,No link,Người tham gia ẩn danh,Thành viên,19 giờ,Kì 1 bị học lại một môn thì có được học bằng 2 ko ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,0.0,,,,,,,,,,Tiêu cực (NEG)
2,No link,Người tham gia ẩn danh,Thành viên,19 giờ,"Mn ơi, ai biết hoạt động/ chương trình gì được cấp GCN để cộng điểm rèn luyện khongg ạ",No picture,"{'Thích': '2', 'Yêu thích': '2', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,1.0,0.0,,,,,,,,,Tiêu cực (NEG)
3,No link,Người tham gia ẩn danh,Thành viên,18 giờ,Được em khoá dưới nhắn tin thừa biết làm ẻm thích mình nhưng mà mình thấy ẻm phiền quá giờ sao mọi người,No picture,"{'Thích': '15', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '9', 'Wow': 0, 'Buồn': '3', 'Phẫn nộ': 0}","[{'name': 'Người tham gia ẩn danh 489', 'content': 'ác vừa phải thôi chứ cha ơi cha'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 489 Sao ác má'}, {'name': 'Người tham gia ẩn danh 489', 'content': 'Người tham gia ẩn danh cha không ác ai ác'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 489 Quýnh lộn ko'}, {'name': 'Người tham gia ẩn danh 828', 'content': 'Không thích thì nói thẳng đi, cứ nt qua lại làm ngta tưởng đâu có cơ hội thì lại khổ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 828 Ẻm có tỏ tình với tui đâu mà kêu không thích'}, {'name': 'Người tham gia ẩn danh 828', 'content': 'Người tham gia ẩn danh ý tui là cơ hội để tiến tới 1 mqh mới í'}, {'name': 'Nguyễn Thị Lan Vy', 'content': 'Thì block đi, hoặc kêu anh không thích em, đừng làm phiền anh nữa'}, {'name': 'Người tham gia ẩn danh', 'content': 'Người tham gia ẩn danh Tác giả Nguyễn Thị Lan Vy Có tội ẻm quá không'}, {'name': 'Nguyễn Thị Lan Vy', 'content': 'Người tham gia ẩn danh không. Cho họ tự do đi chứ mình thấy phiền, họ thấy thích'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Nguyễn Thị Lan Vy Ok'}, {'name': 'G. Thịn', 'content': 'Ko thích thì nói thẳng :))) ô lại chả ghiền bỏ mẹ nên mới để nó nhắn'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả G. Thịn Ghiền mà sao thấy phiền được ông'}, {'name': 'G. Thịn', 'content': 'Người tham gia ẩn danh'}, {'name': 'Người tham gia ẩn danh 320', 'content': 'Tip: nhắn là: ""Sao em nhắn cho anh/chị nhiều vậy?""'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 320 Cấm chat ẻm luôn'}, {'name': 'Quốc Đạt', 'content': 'Hồng Linhh chắc thích e'}, {'name': 'Kan Mi', 'content': 'Lựa lời mà nói, nên từ chối luôn đi, để ẻm từ bỏ là ok'}, {'name': 'Hạnh Thảo', 'content': 'Như Quỳnh nên làm gì nhỉ'}, {'name': 'Khải Nam', 'content': 'Nhóm ít tương tác quá nên cứ đi ẩn danh bịa chuyện rồi nói xàm các thứ kiếm tương tác cho nhóm à:)))'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Ngày nào cũng nhắn kể tùm lum chuyện mình thì sợ ẻm ngại nên cũng hùa theo cho ẻm vui mà ẻm nói nhiều quá'}]",2.0,1.0,0.0,,,,,,,,Tiêu cực (NEG)
4,No link,Người tham gia ẩn danh,Thành viên,18 giờ,"Mình có File PLDC tóm gọn cho ai chưa học nhen, ai cần hì cmt ạ",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Vy Dang', 'content': 'ib e voi ạ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Vy Dang có chút phụ phí nhỏ á b oki hem'}, {'name': 'Vy Dang', 'content': 'Người tham gia ẩn danh da duoc a'}, {'name': 'Người tham gia ẩn danh 592', 'content': 'Mình cũng có'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả Người tham gia ẩn danh 592 học bài đuy nhe hong'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả kh là mình đi ngủ á nha'}, {'name': 'Cẩm Quỳnh', 'content': 'Mk cũng có ai cần thì lh'}, {'name': 'Thúy Quỳnh', 'content': 'Cẩm Quỳnh mình kk'}, {'name': 'Cẩm Quỳnh', 'content': 'Thúy Quỳnh oki bạn'}, {'name': 'Tâm Thông', 'content': 'Mình xin'}, {'name': 'Đình Thuận', 'content': 'Ib ạ'}, {'name': 'Hải Annhh', 'content': 'Ib ạ'}, {'name': 'Người tham gia ẩn danh', 'content': 'Tác giả'}, {'name': 'Nguyễn Quang Linh', 'content': 'Người tham gia ẩn danh ib mình với ạ'}, {'name': 'Thị Loan', 'content': '.'}]",3.0,2.0,1.0,0.0,,,,,,,Tích cực (POS)
5,No link,Người tham gia ẩn danh,Thành viên,8 giờ,mn cho e hỏi môn giao tiếp và tạo lập văn bản thì mình ôn gì vậy ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,4.0,3.0,2.0,1.0,0.0,,,,,,Tích cực (POS)
6,No link,Người tham gia ẩn danh,Thành viên,5 giờ,Mọi người cho em hỏi Khai phá dữ liệu thầy Vinh chiều thứ 2 22-0301 khi nào thi vậy ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,5.0,4.0,3.0,2.0,1.0,0.0,,,,,Tích cực (POS)
7,https://www.facebook.com/groups/1976889476160045/user/100074585113814/?__cft__[0]=AZVId7zGlhZLPY7ppIji22-Dz0TtnSUXvG1TI3HDivL62mjxu-kFWfNHtKeiJ1-we_KfFDXKGHgVR_TvBYdwx5JDwQQAZ8S_itlP8DK5EsSEnlAs7P5rnvIPaDg_F6rcy4WfmB1Pl08Lk9AL_lQI2-FB1xfq3OqY1NpezXSr7A8KSZtt12sFqaaju9wyo7ESmi_LjbPuuRXb-caWuHVD75UA&__tn__=-UC%2CP-R,Ly Minơ,Thành viên,3 giờ,"V-box
 THỬ THÁCH GIỌNG HÁT VỚI ĐỒNG GIÁ CHỈ 39K! 
 Giá siêu rẻ – Vui hết nấc!
 Chỉ 39K/giờ – hát tẹt ga với phòng chuẩn xịn, âm thanh cực chất!
 Ưu đãi đặc biệt:
 Áp dụng mọi ngày trong tuần, Từ 8h - 18H
 Phòng hát hiện đại, không gian cực chill.
 Hơn 10.000 bài hát hot hit, luôn cập nhật mới nhất.
 Địa chỉ: 351 Tôn Đức Thắng ( gần ngã ba rẽ vào Hoàng văn Thái ) 
 Nhanh tay rủ hội bạn đến V-Box để “quẩy tung nóc” với mức giá không tưởng!","{0: 'https://scontent.fdad2-1.fna.fbcdn.net/v/t39.30808-6/470156924_597282139434618_1830263216019356421_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=TiRK40PeHJEQ7kNvgFd-Q0B&_nc_zt=23&_nc_ht=scontent.fdad2-1.fna&_nc_gid=A0tn_sJ09fN1WmAA4NXZeOW&oh=00_AYCu2wV1bU33jwI-8zrJETs40qA-TEAyeDDD9H5y6O-wGw&oe=67609F0F', 1: 'https://scontent.fdad1-3.fna.fbcdn.net/v/t39.30808-6/470154458_597281882767977_3379674921371912924_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=4tx-F91VXgkQ7kNvgG1MzgN&_nc_zt=23&_nc_ht=scontent.fdad1-3.fna&_nc_gid=A0tn_sJ09fN1WmAA4NXZeOW&oh=00_AYBbvIOfL6TGSZBAgXxoBHCN2W_95kioxwv4NhgJuef1iw&oe=6760706A', 2: 'https://scontent.fdad1-2.fna.fbcdn.net/v/t39.30808-6/470125310_597281922767973_6295474638408424911_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=102&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=21dA2WvRZUAQ7kNvgFM2uLd&_nc_zt=23&_nc_ht=scontent.fdad1-2.fna&_nc_gid=A0tn_sJ09fN1WmAA4NXZeOW&oh=00_AYBOb4njjbQuka1mkihX3S38xLtBGT901Yv1mMsWt4m6Qg&oe=67606A7E', 3: 'https://scontent.fdad2-1.fna.fbcdn.net/v/t39.30808-6/469957973_597281946101304_2525752726785477279_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=BnZUPt3OOL4Q7kNvgHsUdkh&_nc_zt=23&_nc_ht=scontent.fdad2-1.fna&_nc_gid=A0tn_sJ09fN1WmAA4NXZeOW&oh=00_AYBOe_FNPJ1-3cKcMvd7975FfhRtNLAg3BMPANbqRvO1eg&oe=67608FC3'}","{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,,Tích cực (POS)
8,No link,Người tham gia ẩn danh,Thành viên,2 giờ,bạn nào hôm 6/12 bỏ quên ở xe mình ib nhận lại nha,{0: 'https://scontent.fdad1-4.fna.fbcdn.net/v/t39.30808-6/469862363_893153212951663_7881924191418615670_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=foXIR9n0oX0Q7kNvgHBDEl6&_nc_zt=23&_nc_ht=scontent.fdad1-4.fna&_nc_gid=A0tn_sJ09fN1WmAA4NXZeOW&oh=00_AYByv7ndHOWx3ClaiRAYPQNOFdBgYihIr6fIAGvCwQewpg&oe=67607EB3'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,,Tích cực (POS)
9,No link,Người tham gia ẩn danh,Thành viên,23 phút,"Các ac cho e hỏi với ạ, thi môn dẫn luận ngôn ngữ có được gạch í không, hay là phải viết thành đoạn ạ",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,,Tiêu cực (NEG)
